,zip,latitude,longitude,median_sale_price,percent_change_home_price,parent_metro_region,total_stores,occupation,total_employment,jobs_per_1000,annual_mean_salary,annual_median_salary,city_year,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor
138,30206,33.096058,-84.458228,103910.0,-0.6102562670327314,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
139,30213,33.589298,-84.636766,129200.0,-0.5614773507206589,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,25159.0,18059.0,71.8,4.5,591.0,3.4
140,30214,33.490464,-84.485997,336100.0,0.0032835820895522,"Atlanta, GA",4.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
141,30215,33.391613,-84.456432,224125.0,-0.3794465770953295,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
142,30216,33.228851,-83.884863,166488.88888888888,-0.0254047585090748,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
143,30217,33.281895,-85.133844,186300.0,0.0437955322903421,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
144,30218,33.129318,-84.587178,89545.45454545456,-0.5899803888291754,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
145,30220,33.225499,-84.823547,223535.7142857143,0.3947481436922214,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
146,30222,33.044355,-84.743495,54299.75,-0.6921201781656188,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
147,30223,33.288801,-84.279923,146725.0,-0.4334256021756023,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
148,30224,33.204493,-84.239727,249900.0,0.02,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,,,,,,,
